name,pid,memory_usage,status
ContextService,50420,14385152,running
zoom.us,50503,36638720,running
universalAccessAuthWarn,50508,11272192,running
caphost,50513,4874240,running
com.apple.SafariPlatformSupport.Helper,50516,14319616,running
com.apple.WebKit.WebContent,50517,13615104,running
translationd,50518,19349504,running
com.apple.WebKit.WebContent,50582,104022016,running
com.apple.WebKit.WebContent,50758,189104128,running
WiFiVelocityAgent,51058,3506176,running
com.apple.WebKit.WebContent,51096,29802496,running
zsh,51107,786432,running
bash,51117,737280,running
python3.7,51119,39133184,running
com.apple.WebKit.WebContent,51128,149962752,running
com.apple.WebKit.WebContent,51131,68894720,running
python3.7,51137,12079104,running
com.apple.WebKit.WebContent,51139,57180160,running
python3.7,51149,12083200,running
com.apple.hiservices-xpcservice,51160,3948544,running
python3.7,51165,63213568,running
syncdefaultsd,51172,12713984,running
cdpd,51177,4964352,running
vcxpc,51182,11845632,running
Siri,51188,22691840,running
swcd,51192,8552448,running
AppleSpell,51198,92504064,running
keyboardservicesd,51199,10354688,running
contactsd,51200,8814592,running
proactiveeventtrackerd,51201,4227072,running
SidecarRelay,51202,7143424,running
pkd,51205,11239424,running
com.apple.accessibility.mediaaccessibilityd,51206,2392064,running
UniversalControl,51207,19300352,running
Keychain Circle Notification,51208,18595840,running
StatusKitAgent,51209,9207808,running
AssetCacheLocatorService,51212,5521408,running
ContextStoreAgent,51217,12189696,running
ScreenTimeAgent,51218,21872640,running
secinitd,51219,3506176,running
sociallayerd,51226,21315584,running
ImageIOXPCService,51227,4358144,running
triald,51229,7405568,running
networkserviceproxy,51230,16547840,running
com.apple.WebKit.WebContent,51231,239845376,running
com.apple.geod,51233,14942208,running
neagent,51234,11304960,running
ctkd,51246,7553024,running
BTLEServerAgent,51255,4898816,running
assistantd,51256,35700736,running
SiriNCService,51257,20971520,running
com.apple.siri.embeddedspeech,51258,10502144,running
homed,51259,22102016,running
siriknowledged,51260,11812864,running
assistant_service,51266,50348032,running
csnameddatad,51268,2555904,running
com.apple.quicklook.ThumbnailsAgent,51274,16629760,running
CoreServicesUIAgent,51275,15679488,running
ScopedBookmarkAgent,51286,4489216,running
mdworker_shared,51335,10059776,running
IMAutomaticHistoryDeletionAgent,52205,2949120,running
knowledge-agent,52929,20299776,running
IMTranscoderAgent,54069,5931008,running
ViewBridgeAuxiliary,54725,5734400,running
PowerChime,54868,6864896,running
storedownloadd,54898,2850816,running
DiskUnmountWatcher,58438,1294336,running
mbuseragent,71252,4997120,running
suggestd,71681,61849600,running
photolibraryd,72498,8306688,running
talagent,77658,4669440,running
com.apple.WebKit.WebContent,82810,6914048,running
com.apple.WebKit.Networking,82813,5668864,running
python,84762,131072,running
python3.9,84764,19271680,running
zsh,84823,163840,running
zsh,84824,163840,running
zsh,84825,163840,running
trustd,85226,10633216,running
Google Chrome Helper,85411,8011776,running
TV,86917,25952256,running
AMPLibraryAgent,86922,9256960,running
System Preferences,86985,7602176,running
studentd,86993,10010624,running
AccountProfileRemoteViewService,86998,8044544,running
AvatarPickerMemojiPicker,87002,12795904,running
com.apple.preferences.Bluetooth.remoteservice,87010,7716864,running
loginwindow,363,11632640,running
distnoted,513,3653632,running
cfprefsd,514,3801088,running
UserEventAgent,531,8241152,running
lsd,536,9125888,running
nsurlsessiond,540,12124160,running
usernoted,541,10485760,running
rapportd,543,6946816,running
lockoutagent,545,4702208,running
secd,548,8339456,running
backgroundtaskmanagementagent,551,3489792,running
sharedfilelistd,552,4390912,running
NotificationCenter,559,13172736,running
identityservicesd,563,16105472,running
itunescloudd,564,7143424,running
Microsoft Word,572,39370752,running
bird,575,12828672,running
coreauthd,584,5111808,running
sharingd,585,18595840,running
pboard,586,4849664,running
cloudd,589,25673728,running
Messages,597,32325632,running
Preview,600,33079296,running
Google Chrome,601,84082688,running
Microsoft PowerPoint,607,29999104,running
Music,608,0,stopped
Terminal,609,21053440,running
Xcode,611,25149440,running
Microsoft Excel,612,54935552,running
Mail,614,15171584,running
App Store,615,0,stopped
spindump_agent,616,1687552,running
Calendar,617,9437184,running
Notes,618,0,stopped
Dock,620,16941056,running
ControlCenter,621,37453824,running
SystemUIServer,623,9666560,running
Finder,624,31096832,running
Spotlight,627,12550144,running
fontd,628,7618560,running
com.apple.Safari.History,631,13697024,running
fontworker,632,2195456,running
CalendarAgent,633,26869760,running
AMPDeviceDiscoveryAgent,635,2981888,running
useractivityd,641,10305536,running
com.apple.dock.extra,645,6488064,running
commerce,650,6324224,running
familycircled,651,6946816,running
avconferenced,654,5193728,running
UIKitSystem,656,5685248,running
imagent,659,12681216,running
imklaunchagent,662,4063232,running
PasswordBreachAgent,664,5406720,running
WiFiAgent,666,5029888,running
corespotlightd,671,23855104,running
mdwrite,680,2539520,running
passd,682,5193728,running
PAH_Extension,687,7782400,running
icdd,696,3309568,running
mediaremoteagent,734,3276800,running
mdbulkimport,742,7749632,running
com.apple.WebKit.WebContent,751,6029312,running
com.apple.WebKit.Networking,753,5521408,running
com.apple.CoreSimulator.CoreSimulatorService,808,2899968,running
SimLaunchHost.arm64,810,376832,running
SimulatorTrampoline,812,2572288,running
corespeechd,818,3735552,running
AirPlayUIAgent,835,4063232,running
cloudpaird,837,9371648,running
diagnostics_agent,838,4866048,running
TextInputMenuAgent,839,10387456,running
ctkahp,843,2162688,running
com.apple.WebKit.WebContent,854,8454144,running
com.apple.WebKit.Networking,856,6225920,running
com.apple.dt.SKAgent,874,4210688,running
XCBBuildService,876,1589248,running
GPUToolsAgent,879,1490944,running
storeaccountd,1007,4390912,running
chrome_crashpad_handler,1181,737280,running
Google Chrome Helper (GPU),1188,23003136,running
Google Chrome Helper,1190,28278784,running
Google Chrome Helper,1192,5996544,running
com.apple.speech.speechsynthesisd,1333,1064960,running
Microsoft Update Assistant,1649,3653632,running
callservicesd,2406,12664832,running
accountsd,5704,15761408,running
Teams,7262,58294272,running
chrome_crashpad_handler,7335,2031616,running
Microsoft Teams Helper (GPU),7336,16809984,running
Microsoft Teams Helper,7338,18989056,running
Microsoft Teams Helper (Renderer),7341,12124160,running
Microsoft Teams Helper,7342,6832128,running
parsecd,14319,13828096,running
ControlCenterHelper,18017,6340608,running
CommCenter,19187,7847936,running
Safari,32911,130400256,running
com.apple.WebKit.Networking,32913,66502656,running
com.apple.WebKit.GPU,32972,47415296,running
OneDrive,34865,21970944,running
com.apple.Safari.SearchHelper,35180,8962048,running
Numbers,35276,16318464,running
tccd,38583,8962048,running
Microsoft Teams Helper (Renderer),39243,100974592,running
Microsoft Teams Helper (Renderer),39249,37666816,running
Microsoft Teams Helper (Renderer),39250,38158336,running
zsh,44488,720896,running
bash,44500,688128,running
python3.7,44502,7299072,running
python3.7,44513,4612096,running
python3.7,44583,4628480,running
com.apple.WebKit.WebContent,49014,18546688,running
contentlinkingd,49118,8028160,running
siriactionsd,49134,12500992,running
reversetemplated,49601,8077312,running
BiomeAgent,49776,3244032,running
containermanagerd,49779,7143424,running
AudioComponentRegistrar,49780,4145152,running
dmd,49800,7487488,running
akd,49829,10780672,running
SafariBookmarksSyncAgent,50037,15515648,running
ContextService,50420,9601024,running
zoom.us,50503,32776192,running
universalAccessAuthWarn,50508,11239424,running
caphost,50513,4259840,running
com.apple.SafariPlatformSupport.Helper,50516,17121280,running
com.apple.WebKit.WebContent,50517,14385152,running
translationd,50518,22003712,running
com.apple.WebKit.WebContent,50582,31047680,running
com.apple.WebKit.WebContent,50758,194019328,running
WiFiVelocityAgent,51058,3506176,running
com.apple.WebKit.WebContent,51096,30261248,running
zsh,51107,720896,running
bash,51117,688128,running
python3.7,51119,19501056,running
com.apple.WebKit.WebContent,51128,120045568,running
com.apple.WebKit.WebContent,51131,83853312,running
python3.7,51137,8773632,running
com.apple.WebKit.WebContent,51139,49971200,running
python3.7,51149,27680768,running
com.apple.hiservices-xpcservice,51160,2801664,running
python3.7,51165,16576512,running
syncdefaultsd,51172,10518528,running
cdpd,51177,4734976,running
vcxpc,51182,6750208,running
Siri,51188,14893056,running
swcd,51192,8208384,running
AppleSpell,51198,53133312,running
keyboardservicesd,51199,8765440,running
contactsd,51200,8126464,running
proactiveeventtrackerd,51201,3932160,running
SidecarRelay,51202,5357568,running
pkd,51205,9945088,running
com.apple.accessibility.mediaaccessibilityd,51206,2359296,running
UniversalControl,51207,16482304,running
Keychain Circle Notification,51208,14843904,running
StatusKitAgent,51209,7716864,running
AssetCacheLocatorService,51212,5472256,running
ContextStoreAgent,51217,14942208,running
ScreenTimeAgent,51218,16515072,running
secinitd,51219,3473408,running
sociallayerd,51226,16924672,running
ImageIOXPCService,51227,3817472,running
triald,51229,6946816,running
networkserviceproxy,51230,13778944,running
com.apple.WebKit.WebContent,51231,130662400,running
com.apple.geod,51233,12288000,running
neagent,51234,11943936,running
ctkd,51246,7290880,running
BTLEServerAgent,51255,4112384,running
assistantd,51256,23216128,running
SiriNCService,51257,15319040,running
com.apple.siri.embeddedspeech,51258,8716288,running
homed,51259,16728064,running
siriknowledged,51260,9175040,running
assistant_service,51266,22118400,running
csnameddatad,51268,2211840,running
com.apple.quicklook.ThumbnailsAgent,51274,14172160,running
CoreServicesUIAgent,51275,12713984,running
ScopedBookmarkAgent,51286,3375104,running
com.apple.WebKit.WebContent,51346,338296832,running
ReportCrash,51347,3833856,running
CategoriesService,51353,11517952,running
UsageTrackingAgent,51356,9273344,running
QuickLookSatellite,51370,24248320,running
com.apple.WebKit.WebContent,51376,253132800,running
com.apple.WebKit.WebContent,51377,24805376,running
mediaanalysisd,51382,41287680,running
IMAutomaticHistoryDeletionAgent,52205,2932736,running
knowledge-agent,52929,19595264,running
IMTranscoderAgent,54069,5865472,running
ViewBridgeAuxiliary,54725,4571136,running
PowerChime,54868,6799360,running
storedownloadd,54898,2850816,running
DiskUnmountWatcher,58438,1277952,running
mbuseragent,71252,4980736,running
suggestd,71681,54607872,running
photolibraryd,72498,8257536,running
talagent,77658,4653056,running
